iteration,v_s,max_s,std_s,peak_node_s
0,1117.8364500000002,7.950000000000001,1.1323438126293621,5.07
1,1117.8364500000002,7.950000000000001,1.1323438126293621,5.07
2,1117.8364500000002,7.950000000000001,1.1323438126293621,5.07
3,1117.8364500000002,7.950000000000001,1.1323438126293621,5.07
4,1117.8364500000002,7.950000000000001,1.1323438126293621,5.07
5,2121.9296245000005,9.181000000000001,1.1586265546326824,7.463000000000001
6,2121.9296245000005,9.181000000000001,1.1586265546326824,7.463000000000001
7,2121.9296245000005,9.181000000000001,1.1586265546326824,7.463000000000001
8,2121.9296245000005,9.181000000000001,1.1586265546326824,7.463000000000001
9,2121.9296245000005,9.181000000000001,1.1586265546326824,7.463000000000001
10,3358.6776258450004,11.913499999999999,1.5781852132785303,8.8167
11,3358.6776258450004,11.913499999999999,1.5781852132785303,8.8167
12,3358.6776258450004,11.913499999999999,1.5781852132785303,8.8167
13,3358.6776258450004,11.913499999999999,1.5781852132785303,8.8167
14,3358.6776258450004,11.913499999999999,1.5781852132785303,8.8167
15,4675.641718934451,12.866620000000001,1.7127869196729963,11.335030000000001
16,4675.641718934451,12.866620000000001,1.7127869196729963,11.335030000000001
17,4675.641718934451,12.866620000000001,1.7127869196729963,11.335030000000001
18,4675.641718934451,12.866620000000001,1.7127869196729963,11.335030000000001
19,4675.641718934451,12.866620000000001,1.7127869196729963,11.335030000000001
20,6049.392908036906,13.474615000000002,1.8743152265999328,12.701527000000002
21,6049.392908036906,13.474615000000002,1.8743152265999328,12.701527000000002
22,6049.392908036906,13.474615000000002,1.8743152265999328,12.701527000000002
23,6049.392908036906,13.474615000000002,1.8743152265999328,12.701527000000002
24,6049.392908036906,13.474615000000002,1.8743152265999328,12.701527000000002
25,7449.886946589894,15.353964100000002,2.08126361303419,13.431374300000002
26,7449.886946589894,15.353964100000002,2.08126361303419,13.431374300000002
27,7449.886946589894,15.353964100000002,2.08126361303419,13.431374300000002
28,7449.886946589894,15.353964100000002,2.08126361303419,13.431374300000002
29,7449.886946589894,15.353964100000002,2.08126361303419,13.431374300000002
30,8842.400198319816,17.029559440000003,2.300376163307059,14.988236870000001
31,8842.400198319816,17.029559440000003,2.300376163307059,14.988236870000001
32,8842.400198319816,17.029559440000003,2.300376163307059,14.988236870000001
33,8842.400198319816,17.029559440000003,2.300376163307059,14.988236870000001
34,8842.400198319816,17.029559440000003,2.300376163307059,14.988236870000001
35,10180.974759585952,17.846617508999998,2.4296985997359792,15.889413183000002
36,10180.974759585952,17.846617508999998,2.4296985997359792,15.889413183000002
37,10180.974759585952,17.846617508999998,2.4296985997359792,15.889413183000002
38,10180.974759585952,17.846617508999998,2.4296985997359792,15.889413183000002
39,10180.974759585952,17.846617508999998,2.4296985997359792,15.889413183000002
40,11467.07513980527,18.2451397407,2.548560106979647,17.6004718647
41,11467.07513980527,18.2451397407,2.548560106979647,17.6004718647
42,11467.07513980527,18.2451397407,2.548560106979647,17.6004718647
43,11467.07513980527,18.2451397407,2.548560106979647,17.6004718647
44,11467.07513980527,18.2451397407,2.548560106979647,17.6004718647
45,12696.148784518702,19.064877282730002,2.67849392736349,17.84042467823
46,12696.148784518702,19.064877282730002,2.67849392736349,17.84042467823
47,12696.148784518702,19.064877282730002,2.67849392736349,17.84042467823
48,12696.148784518702,19.064877282730002,2.67849392736349,17.84042467823
49,12696.148784518702,19.064877282730002,2.67849392736349,17.84042467823
50,13855.814986925578,20.163193948584006,2.7718938725563147,18.656382210407003
51,13855.814986925578,20.163193948584006,2.7718938725563147,18.656382210407003
52,13855.814986925578,20.163193948584006,2.7718938725563147,18.656382210407003
53,13855.814986925578,20.163193948584006,2.7718938725563147,18.656382210407003
54,13855.814986925578,20.163193948584006,2.7718938725563147,18.656382210407003
55,14947.228833413355,21.1934657476549,2.894731807413095,19.890743989366303
56,14947.228833413355,21.1934657476549,2.894731807413095,19.890743989366303
57,14947.228833413355,21.1934657476549,2.894731807413095,19.890743989366303
58,14947.228833413355,21.1934657476549,2.894731807413095,19.890743989366303
